date,price
2023-09-01 00:00:00,25932.99
2023-09-02 00:00:00,25802.1
2023-09-03 00:00:00,25869.09
2023-09-04 00:00:00,25969.05
2023-09-05 00:00:00,25810.86
2023-09-06 00:00:00,25785.3
2023-09-07 00:00:00,25753.31
2023-09-08 00:00:00,26243.47
2023-09-09 00:00:00,25906.03
2023-09-10 00:00:00,25894.31
2023-09-11 00:00:00,25832.82
2023-09-12 00:00:00,25162.7
2023-09-13 00:00:00,25835.7
2023-09-14 00:00:00,26227.98
2023-09-15 00:00:00,26536.02
2023-09-16 00:00:00,26605.75
2023-09-17 00:00:00,26568.65
2023-09-18 00:00:00,26536.54
2023-09-19 00:00:00,26763.76
2023-09-20 00:00:00,27222.12
2023-09-21 00:00:00,27133.55
2023-09-22 00:00:00,26569.6
2023-09-23 00:00:00,26581.86
2023-09-24 00:00:00,26580.72
2023-09-25 00:00:00,26252.75
2023-09-26 00:00:00,26293.29
2023-09-27 00:00:00,26212.82
2023-09-28 00:00:00,26357.65
2023-09-29 00:00:00,27021.15
2023-09-30 00:00:00,26916.91
2023-10-01 00:00:00,26970.43
2023-10-02 00:00:00,27983.92
2023-10-03 00:00:00,27532.51
2023-10-04 00:00:00,27430.23
2023-10-05 00:00:00,27797.56
2023-10-06 00:00:00,27416.69
2023-10-07 00:00:00,27946.61
2023-10-08 00:00:00,27973.26
2023-10-09 00:00:00,27937.18
2023-10-10 00:00:00,27581.42
2023-10-11 00:00:00,27395.65
2023-10-12 00:00:00,26867.79
2023-10-13 00:00:00,26758.66
2023-10-14 00:00:00,26866.51
2023-10-15 00:00:00,26855.89
2023-10-16 00:00:00,27167.87
2023-10-17 00:00:00,28517.32
2023-10-18 00:00:00,28413.17
2023-10-19 00:00:00,28331.5
2023-10-20 00:00:00,28723.49
2023-10-21 00:00:00,29682.6
2023-10-22 00:00:00,29921.68
2023-10-23 00:00:00,29990.73
2023-10-24 00:00:00,33059.98
2023-10-25 00:00:00,33902.65
2023-10-26 00:00:00,34493.19
2023-10-27 00:00:00,34157.79
2023-10-28 00:00:00,33911.08
2023-10-29 00:00:00,34090.68
2023-10-30 00:00:00,34532.39
2023-10-31 00:00:00,34501.0
2023-11-01 00:00:00,34662.16
